location,start_date,end_date,description,USA for sure,timestamp
Brighton,2007-08-03,2007-08-05,Brighton Pride,False,20070324050528
Hamburg,2007-08-08,2007-08-13,The Leather Party,False,20070324050528
Manchester,2007-08-24,2007-08-27,Gay Pride,False,20070324050528
Berlin,2007-09-01,2007-09-01,Folsom Europe,False,20070324050528
Munich,2007-09-20,2007-10-07,Oktoberfesten,False,20070307091905
Munich,2007-09-20,2007-09-20,Oktoberfesten,False,20070324050528
Munchen,2007-09-22,2007-10-07,Oktoberfesten,False,20070206002150
San Francisco,2007-09-30,2007-09-30,Folsom Street Fair,False,20070925160559
Montreal,2007-10-03,2007-10-07,Black & Blue Festival,False,20070324050528
Berlin,2007-10-19,2007-10-19,Hustlaball,False,20070324050528
Amsterdam,2007-10-25,2007-10-28,Leather Pride Weekend,False,20070324050528
Miami,2007-11-21,2007-11-26,White Party Week,False,20071117111838
Aspen,2008-01-13,2008-01-20,Gay and Lesbian Ski Week,False,20071217191524
Miami,2008-01-19,2008-01-26,Atlantis Caribbean Cruise,False,20080117051103
Miami,2008-01-25,2008-01-25,Atlantis Caribbean Cruise,True,20081220152307
New Orleans,2008-02-01,2008-02-05,Gay Mardi Grass,False,20080117051103
Rio de Janeiro,2008-02-02,2008-02-05,Carnival,False,20070324050528
Rio de Janeiro,2008-02-03,2008-02-15,Atlantis Carnival Cruise,False,20070324050528
Miami,2008-02-25,2008-02-25,Winter Party Miami,True,20081220152307
Miami,2008-02-27,2008-02-27,Winter Party Miami,False,20080217232117
Chicago,2008-05-22,2008-05-26,International Mr Leather,False,20080419012735
Orlando,2008-06-05,2008-06-08,Gay Days One Mighty Weekend,False,20080526135008
Orlando,2008-06-06,2008-06-08,Gay Days One Mighty Weekend,False,20071018040432
Los Angeles,2008-06-06,2008-06-08,Los Angeles Pride,False,20071018040432
Orlando,2008-06-06,2008-06-08,Gay Days One Mighty Weekend,False,20071117111838
Los Angeles,2008-06-06,2008-06-08,Los Angeles Pride,False,20071117111838
Orlando,2008-06-06,2008-06-08,Gay Days One Mighty Weekend,False,20071217191524
Los Angeles,2008-06-06,2008-06-08,Los Angeles Pride,False,20080526135008
New York,2008-06-22,2008-06-29,NYC Gay Pride,False,20080526135008
San Francisco,2008-06-28,2008-06-29,San Francisco Pride,False,20080625230919
Chicago,2008-06-29,2008-06-29,Chicago Pride,False,20080625230919
New Orleans,2008-08-27,2008-08-27,Southern Decadence,False,20080724104742
San Francisco,2008-09-28,2008-09-28,Folsom Street Fair,False,20080913071856
Los Angeles,2008-10-03,2008-10-05,Gay Days Anaheim,False,20080930032343
Palm Springs,2008-11-01,2008-11-02,Greater Palm Springs Pride,False,20080930032343
Aspen,2009-01-11,2009-01-18,Gay and Lesbian Ski Week,True,20081220152307
Miami,2009-01-25,2009-01-25,Atlantis Caribbean Cruise,True,20090121173320
New Orleans,2009-02-19,2009-02-24,Gay Mardi Grass,True,20090219140144
Miami,2009-02-25,2009-02-25,Winter Party Miami,True,20090121173320
Miami,2009-02-25,2009-03-02,Winter Party Miami,True,20090222192240
Miami,2009-03-08,2009-03-15,Atlantis Caribbean Cruise,False,20081102021536
Fort Lauderdale,2009-03-08,2009-03-15,Atlantis Caribbean Cruise,True,20090222192240
Las Vegas,2009-05-01,2009-05-02,Las Vegas Pride,True,20090421070047
Chicago,2009-05-21,2009-05-25,International Mr Leather,True,20090421070047
Orlando,2009-06-04,2009-06-07,Gay Days One Mighty Weekend,True,20090421070047
Los Angeles,2009-06-12,2009-06-14,Los Angeles Pride,True,20090421070047
New York,2009-06-20,2009-06-28,NYC Gay Pride,True,20090421070047
San Francisco,2009-06-27,2009-06-28,San Francisco Pride,True,20090421070047
Chicago,2009-06-28,2009-06-28,Chicago Pride,True,20090421070047
San Diego,2009-07-18,2009-07-19,San Diego Pride,True,20090421070047
New Orleans,2009-09-02,2009-09-07,Southern Decadence,True,20090820180634
San Francisco,2009-09-27,2009-09-27,Folsom Street Fair,True,20090820180634
Los Angeles,2009-10-02,2009-10-04,Gay Days Anaheim,True,20090820180634
Los Angeles,2009-10-18,2009-10-24,Mexican Riviera Cruise,True,20090121173320
Los Angeles,2009-10-18,2009-10-25,Atlantis LA Mexico gay cruise,True,20090820180634
Palm Springs,2009-11-07,2009-11-08,Greater Palm Springs Pride,True,20090820180634
Miami,2009-11-25,2009-11-30,White Party Week,True,20090820180634
Miami,2010-01-17,2010-01-24,Atlantis Caribbean Cruise,True,20090820180634
Aspen,2010-01-17,2010-01-24,Gay and Lesbian Ski Week,True,20090820180634
New Orleans,2010-02-16,2010-02-16,Gay Mardi Grass,True,20090820180634
Miami,2010-03-03,2010-03-08,Winter Party Miami,True,20090820180634
Fort Lauderdale,2010-03-07,2010-03-14,Atlantis Caribbean Cruise,True,20090820180634
Cleveland,2010-04-22,2010-04-25,Claw Leather Awareness,True,20100424005357
Las Vegas,2010-04-30,2010-05-01,Las Vegas Pride,True,20100424005357
Dallas,2010-04-30,2010-05-02,Purple Party,True,20100424005357
Las Vegas,2010-04-30,2010-05-01,Las Vegas Pride,True,20100429143621
Dallas,2010-04-30,2010-05-02,Purple Party,True,20100429143621
New York,2010-05-16,2010-05-16,NY AIDS Walk,True,20100429143621
Miami,2010-05-27,2010-06-01,Sizzle,True,20100429143621
Chicago,2010-05-28,2010-05-31,International Mr Leather,True,20100429143621
Key West,2010-05-29,2010-06-06,Key West PrideFest ,True,20100429143621
Orlando,2010-06-01,2010-06-07,Disney Gay Days,True,20100429143621
Orlando,2010-06-04,2010-06-06,One Mighty Weekend,True,20100424005357
Boston,2010-06-04,2010-06-13,Boston Pride,True,20100424005357
Washington,2010-06-04,2010-06-13,Capital pride,True,20100424005357
Orlando,2010-06-04,2010-06-06,One Mighty Weekend,True,20100429143621
Boston,2010-06-04,2010-06-13,Boston Pride,True,20100429143621
Washington,2010-06-04,2010-06-13,Capital pride,True,20100429143621
Los Angeles,2010-06-11,2010-06-13,Los Angeles Pride,True,20100429143621
New York,2010-06-19,2010-06-27,NYC Gay Pride,True,20090820180634
Hawaii,2010-06-19,2010-06-19,Honolulu gay pride,True,20100424005357
New York,2010-06-19,2010-06-27,NYC Gay Pride,True,20100424005357
Hawaii,2010-06-19,2010-06-19,Honolulu gay pride,True,20100429143621
New York,2010-06-19,2010-06-27,NYC Gay Pride,True,20100429143621
New York,2010-06-20,2010-06-20,Folsom Street East,True,20100429143621
San Francisco,2010-06-26,2010-06-27,San Francisco Pride,True,20100429143621
New York,2010-06-27,2010-06-27,Dance at the Pier,True,20100429143621
Provincetown,2010-07-01,2010-07-08,Independence Weekend,True,20100429143621
Provincetown,2010-07-10,2010-07-18,Bear Week,True,20100429143621
San Diego,2010-07-17,2010-07-18,San Diego Pride,True,20100429143621
San Francisco,2010-07-25,2010-07-25,Up Your Alley,True,20100429143621
Chicago,2010-08-07,2010-08-08,Northalsted Market Days,True,20100429143621
Provincetown,2010-08-15,2010-08-21,Carnival,True,20100429143621
Black Rock Desert,2010-09-01,2010-09-01,Gay Pride at Burning man ,True,20100424005357
New Orleans,2010-09-01,2010-09-06,Southern Decadence,True,20100424005357
Black Rock Desert,2010-09-01,2010-09-01,Gay Pride at Burning man ,True,20100429143621
New Orleans,2010-09-01,2010-09-06,Southern Decadence,True,20100429143621
San Francisco,2010-09-26,2010-09-26,Folsom Street Fair,True,20100429143621
Los Angeles,2010-10-01,2010-10-03,Gay Days Anaheim,True,20100429143621
Los Angeles,2010-10-17,2010-10-24,Atlantis LA Mexico gay cruise,True,20100429143621
Hawaii,2010-10-30,2010-11-06,RSVP Hawaiian Islands Cruise,True,20100429143621
Palm Springs,2010-11-06,2010-11-07,Greater Palm Springs Pride,True,20100429143621
Miami,2010-11-24,2010-11-29,White Party Week,True,20100429143621
